Frequency (Hz)	Level (dB)
43.066406	-62.410374
86.132812	-67.180344
129.199219	-61.024620
172.265625	-59.408691
215.332031	-56.580238
258.398438	-55.631634
301.464844	-59.506973
344.531250	-60.053192
387.597656	-57.665730
430.664062	-52.984287
473.730469	-49.517521
516.796875	-50.116798
559.863281	-54.506023
602.929688	-57.216377
645.996094	-52.543240
689.062500	-50.115753
732.128906	-52.083946
775.195312	-52.795483
818.261719	-46.937454
861.328125	-44.341396
904.394531	-47.463768
947.460938	-46.308067
990.527344	-44.956474
1033.593750	-46.584850
1076.660156	-47.937347
1119.726562	-45.220985
1162.792969	-44.363930
1205.859375	-44.874409
1248.925781	-43.081261
1291.992188	-46.294155
1335.058594	-51.139454
1378.125000	-54.858952
1421.191406	-53.186058
1464.257812	-51.734127
1507.324219	-55.508053
1550.390625	-58.183086
1593.457031	-53.847191
1636.523438	-53.621792
1679.589844	-56.596378
1722.656250	-57.803967
1765.722656	-58.993065
1808.789062	-57.397419
1851.855469	-57.999962
1894.921875	-57.815182
1937.988281	-58.309284
1981.054688	-58.367340
2024.121094	-58.322819
2067.187500	-59.158749
2110.253906	-60.336338
2153.320312	-64.931320
2196.386719	-65.224571
2239.453125	-63.843018
2282.519531	-60.788147
2325.585938	-61.556286
2368.652344	-63.654064
2411.718750	-66.034828
2454.785156	-63.779633
2497.851562	-64.434120
2540.917969	-65.079308
2583.984375	-67.901100
2627.050781	-71.818184
2670.117188	-73.188240
2713.183594	-70.286293
2756.250000	-70.596260
2799.316406	-69.490936
2842.382812	-67.842567
2885.449219	-68.060539
2928.515625	-70.090508
2971.582031	-69.100815
3014.648438	-67.866364
3057.714844	-65.029343
3100.781250	-62.787781
3143.847656	-66.512161
3186.914062	-64.864983
3229.980469	-61.573925
3273.046875	-61.664032
3316.113281	-63.033039
3359.179688	-59.922665
3402.246094	-61.067436
3445.312500	-60.542114
3488.378906	-60.978405
3531.445312	-64.250671
3574.511719	-65.298645
3617.578125	-68.860466
3660.644531	-68.983917
3703.710938	-68.395317
3746.777344	-68.240448
3789.843750	-67.859566
3832.910156	-70.569756
3875.976562	-69.841812
3919.042969	-69.492096
3962.109375	-68.407394
4005.175781	-69.991295
4048.242188	-73.285416
4091.308594	-72.209068
4134.375000	-67.847740
4177.441406	-69.267967
4220.507812	-73.374451
4263.574219	-72.608368
4306.640625	-72.245453
4349.707031	-72.031151
4392.773438	-70.725327
4435.839844	-67.153465
4478.906250	-65.414825
4521.972656	-68.752083
4565.039062	-68.287048
4608.105469	-67.819496
4651.171875	-66.231255
4694.238281	-65.289787
4737.304688	-67.163521
4780.371094	-68.896736
4823.437500	-66.955734
4866.503906	-65.617233
4909.570312	-65.125488
4952.636719	-64.270844
4995.703125	-64.439903
5038.769531	-64.486351
5081.835938	-64.351822
