Frequency (Hz)	Level (dB)
43.066406	-58.055767
86.132812	-62.093613
129.199219	-61.196819
172.265625	-59.715412
215.332031	-56.834011
258.398438	-53.837742
301.464844	-55.396393
344.531250	-56.240696
387.597656	-52.464405
430.664062	-50.123047
473.730469	-47.240887
516.796875	-48.319908
559.863281	-50.063492
602.929688	-50.119286
645.996094	-48.690884
689.062500	-50.065254
732.128906	-50.484768
775.195312	-50.823299
818.261719	-46.032249
861.328125	-44.148899
904.394531	-46.065441
947.460938	-44.735813
990.527344	-41.080971
1033.593750	-40.778542
1076.660156	-42.796085
1119.726562	-42.939735
1162.792969	-40.144554
1205.859375	-39.076782
1248.925781	-41.554619
1291.992188	-45.666592
1335.058594	-50.614056
1378.125000	-48.884945
1421.191406	-48.722042
1464.257812	-53.331497
1507.324219	-52.715164
1550.390625	-53.614773
1593.457031	-58.312176
1636.523438	-58.695267
1679.589844	-57.619198
1722.656250	-55.915966
1765.722656	-56.645855
1808.789062	-56.241631
1851.855469	-54.321316
1894.921875	-52.777390
1937.988281	-54.785172
1981.054688	-56.443474
2024.121094	-58.072586
2067.187500	-56.505898
2110.253906	-55.263916
2153.320312	-57.424149
2196.386719	-58.949329
2239.453125	-57.637985
2282.519531	-60.976475
2325.585938	-66.565659
2368.652344	-64.037674
2411.718750	-64.788216
2454.785156	-67.622551
2497.851562	-67.751534
2540.917969	-66.520851
2583.984375	-65.469406
2627.050781	-65.848763
2670.117188	-66.149559
2713.183594	-65.381508
2756.250000	-64.328247
2799.316406	-63.662479
2842.382812	-62.585114
2885.449219	-65.414474
2928.515625	-63.026634
2971.582031	-63.757591
3014.648438	-67.098206
3057.714844	-68.121231
3100.781250	-67.803314
3143.847656	-67.231262
3186.914062	-65.159752
3229.980469	-63.182209
3273.046875	-64.282021
3316.113281	-65.990509
3359.179688	-65.122330
3402.246094	-65.533928
3445.312500	-65.047203
3488.378906	-63.456821
3531.445312	-60.820656
3574.511719	-61.345673
3617.578125	-64.875175
3660.644531	-66.466141
3703.710938	-66.623596
3746.777344	-65.118866
3789.843750	-65.757561
3832.910156	-64.235710
3875.976562	-64.784119
3919.042969	-68.445038
3962.109375	-67.981201
4005.175781	-65.464851
4048.242188	-65.442345
4091.308594	-67.932236
4134.375000	-67.753418
4177.441406	-68.539581
4220.507812	-70.714172
4263.574219	-72.199425
4306.640625	-71.569916
4349.707031	-69.001541
4392.773438	-69.337067
4435.839844	-70.406273
4478.906250	-71.904091
4521.972656	-73.514557
4565.039062	-73.230026
4608.105469	-70.747574
4651.171875	-68.811905
4694.238281	-65.731026
4737.304688	-66.506126
4780.371094	-68.989899
4823.437500	-69.818909
4866.503906	-71.912628
4909.570312	-72.537567
4952.636719	-72.162163
4995.703125	-68.276855
5038.769531	-65.671272
5081.835938	-67.607277
5124.902344	-68.745094
5167.968750	-71.250526
5211.035156	-71.682755
5254.101562	-71.144958
5297.167969	-68.419891
5340.234375	-69.220047
5383.300781	-70.625221
5426.367188	-68.503548
5469.433594	-68.273018
5512.500000	-69.263519
5555.566406	-70.405907
5598.632812	-73.425301
5641.699219	-70.197525
5684.765625	-68.377975
5727.832031	-70.695328
5770.898438	-72.312347
5813.964844	-71.883743
5857.031250	-69.970428
5900.097656	-70.502060
5943.164062	-70.591339
5986.230469	-71.412422
6029.296875	-73.610558
6072.363281	-72.517448
6115.429688	-69.469032
6158.496094	-70.268837
6201.562500	-73.830032
6244.628906	-71.591270
6287.695312	-69.860779
6330.761719	-69.829895
6373.828125	-70.231613
6416.894531	-71.190712
6459.960938	-73.123665
6503.027344	-73.175407
6546.093750	-69.934677
6589.160156	-71.640968
6632.226562	-75.057610
6675.292969	-75.583405
6718.359375	-76.066910
6761.425781	-76.406662
6804.492188	-75.694611
6847.558594	-74.333260
6890.625000	-73.583221
6933.691406	-76.203552
6976.757812	-72.361511
7019.824219	-72.492691
7062.890625	-76.486115
7105.957031	-76.387054
7149.023438	-77.677673
7192.089844	-76.107834
7235.156250	-75.953674
7278.222656	-75.782623
7321.289062	-76.719025
7364.355469	-75.150230
7407.421875	-73.693222
7450.488281	-75.793541
7493.554688	-76.092598
7536.621094	-75.774261
7579.687500	-74.564125
7622.753906	-72.170250
7665.820312	-72.051216
7708.886719	-74.617920
7751.953125	-75.320480
7795.019531	-73.378517
7838.085938	-73.672142
7881.152344	-73.430687
7924.218750	-72.479706
7967.285156	-74.810600
8010.351562	-75.089340
8053.417969	-71.860382
8096.484375	-72.322624
8139.550781	-75.046120
8182.617188	-76.489296
8225.683594	-74.604889
8268.750000	-74.043106
8311.816406	-74.971817
8354.882812	-75.656670
8397.949219	-76.484100
8441.015625	-74.976974
8484.082031	-73.870308
8527.148438	-76.880211
8570.214844	-77.669952
8613.281250	-76.336403
8656.347656	-77.185013
8699.414062	-77.934738
8742.480469	-77.360771
8785.546875	-78.251732
8828.613281	-79.829597
8871.679688	-75.723206
8914.746094	-74.726822
8957.812500	-77.858025
9000.878906	-78.657814
9043.945312	-76.729607
9087.011719	-79.353447
9130.078125	-83.080032
9173.144531	-78.904610
9216.210938	-79.531441
9259.277344	-83.929802
9302.343750	-82.833099
9345.410156	-80.594437
9388.476562	-83.199020
9431.542969	-83.980278
9474.609375	-83.922928
9517.675781	-83.518997
9560.742188	-83.201866
9603.808594	-82.361954
9646.875000	-83.614006
9689.941406	-83.723686
9733.007812	-80.540474
9776.074219	-81.349091
9819.140625	-85.491203
9862.207031	-84.314308
9905.273438	-84.128334
9948.339844	-81.204582
9991.406250	-80.230568
10034.472656	-81.921463
10077.539062	-85.275497
10120.605469	-82.475746
10163.671875	-80.979622
10206.738281	-82.734543
10249.804688	-83.902191
10292.871094	-81.996094
10335.937500	-83.648499
10379.003906	-82.309174
10422.070312	-81.897644
10465.136719	-82.518173
10508.203125	-85.267799
10551.269531	-83.020378
10594.335938	-82.285210
10637.402344	-85.147064
10680.468750	-85.574402
10723.535156	-84.893242
10766.601562	-86.057266
10809.667969	-85.543526
10852.734375	-86.627556
10895.800781	-88.986725
10938.867188	-88.295456
10981.933594	-87.591003
11025.000000	-85.994896
11068.066406	-85.694656
11111.132812	-88.944702
11154.199219	-89.711769
11197.265625	-86.853157
11240.332031	-86.898872
11283.398438	-89.563820
11326.464844	-89.516426
11369.531250	-89.770699
11412.597656	-90.961441
11455.664062	-87.781281
11498.730469	-89.160828
11541.796875	-90.595177
11584.863281	-90.218712
11627.929688	-88.362602
11670.996094	-86.140022
11714.062500	-86.741066
11757.128906	-86.181961
11800.195312	-84.864647
11843.261719	-87.353424
11886.328125	-88.621094
11929.394531	-88.680069
11972.460938	-88.556519
12015.527344	-87.043785
12058.593750	-86.896080
12101.660156	-87.454895
12144.726562	-89.368469
12187.792969	-89.616676
12230.859375	-86.524200
12273.925781	-86.002968
12316.992188	-87.007278
12360.058594	-89.997276
12403.125000	-89.044060
12446.191406	-87.563255
12489.257812	-87.910820
12532.324219	-89.389099
12575.390625	-87.779099
12618.457031	-88.663620
12661.523438	-90.282234
12704.589844	-89.093597
12747.656250	-88.361504
12790.722656	-90.593536
12833.789062	-91.412003
12876.855469	-91.094978
12919.921875	-92.375244
12962.988281	-90.931610
13006.054688	-89.601936
13049.121094	-92.472092
13092.187500	-93.012230
13135.253906	-89.158600
13178.320312	-90.701576
13221.386719	-93.291008
13264.453125	-93.815025
13307.519531	-92.890175
13350.585938	-93.062309
13393.652344	-91.751381
13436.718750	-90.843239
13479.785156	-92.884560
13522.851562	-94.362267
13565.917969	-95.347816
13608.984375	-96.683601
13652.050781	-96.818321
13695.117188	-96.122368
13738.183594	-93.803787
13781.250000	-95.060455
13824.316406	-94.798447
13867.382812	-94.964958
13910.449219	-93.615295
13953.515625	-93.736549
13996.582031	-94.184082
14039.648438	-93.270279
14082.714844	-95.404030
14125.781250	-93.365578
14168.847656	-93.040756
14211.914062	-93.398155
14254.980469	-94.357895
14298.046875	-93.256401
14341.113281	-93.357094
14384.179688	-95.953072
14427.246094	-95.739525
14470.312500	-94.476837
14513.378906	-95.825317
14556.445312	-95.566513
14599.511719	-94.531090
14642.578125	-95.321571
14685.644531	-96.972359
14728.710938	-95.412819
14771.777344	-95.128654
14814.843750	-96.465759
14857.910156	-96.840225
14900.976562	-97.380264
14944.042969	-97.984726
14987.109375	-97.747147
15030.175781	-96.215324
15073.242188	-96.299088
15116.308594	-98.873306
15159.375000	-100.765404
15202.441406	-100.165146
15245.507812	-99.514740
15288.574219	-99.997528
