Frequency (Hz)	Level (dB)
43.066406	-61.414558
86.132812	-63.372601
129.199219	-62.137676
172.265625	-60.001308
215.332031	-57.624023
258.398438	-57.021469
301.464844	-59.867603
344.531250	-60.765335
387.597656	-57.849613
430.664062	-54.501755
473.730469	-52.001598
516.796875	-51.628704
559.863281	-52.797356
602.929688	-54.341263
645.996094	-51.311577
689.062500	-49.759766
732.128906	-49.746471
775.195312	-46.082226
818.261719	-43.305889
861.328125	-41.814781
904.394531	-44.648232
947.460938	-45.202248
990.527344	-45.529671
1033.593750	-47.872116
1076.660156	-46.377140
1119.726562	-48.931244
1162.792969	-47.898018
1205.859375	-43.638294
1248.925781	-45.108669
1291.992188	-49.777626
1335.058594	-49.780193
1378.125000	-49.868046
1421.191406	-50.834553
1464.257812	-54.786152
1507.324219	-55.731060
1550.390625	-54.564079
1593.457031	-54.313366
1636.523438	-55.042912
1679.589844	-57.949757
1722.656250	-58.722393
1765.722656	-59.198040
1808.789062	-57.480305
1851.855469	-58.651234
1894.921875	-60.835136
1937.988281	-61.344170
1981.054688	-60.613361
2024.121094	-60.005028
2067.187500	-61.628078
2110.253906	-61.147964
2153.320312	-59.914986
2196.386719	-62.858513
2239.453125	-63.073460
2282.519531	-63.977993
2325.585938	-64.755714
2368.652344	-63.721603
2411.718750	-63.752632
2454.785156	-62.242149
2497.851562	-61.486389
2540.917969	-65.598358
2583.984375	-66.186615
2627.050781	-67.831894
2670.117188	-66.366081
2713.183594	-67.702698
2756.250000	-66.797081
2799.316406	-63.601295
2842.382812	-63.503643
2885.449219	-64.223984
2928.515625	-63.469254
2971.582031	-63.693634
3014.648438	-66.370537
3057.714844	-69.987740
3100.781250	-68.137421
3143.847656	-67.960396
3186.914062	-69.055473
3229.980469	-67.902634
3273.046875	-66.906120
3316.113281	-64.750229
3359.179688	-64.238167
3402.246094	-63.515022
3445.312500	-65.103958
3488.378906	-66.156792
3531.445312	-63.742420
3574.511719	-63.705761
3617.578125	-62.907440
3660.644531	-67.331505
3703.710938	-70.652702
3746.777344	-69.860664
3789.843750	-67.586060
3832.910156	-66.637909
3875.976562	-67.153679
3919.042969	-70.784897
3962.109375	-69.502953
4005.175781	-66.477798
4048.242188	-66.019249
4091.308594	-66.783554
4134.375000	-69.383507
4177.441406	-70.737785
4220.507812	-68.920464
4263.574219	-66.659607
4306.640625	-69.347717
4349.707031	-70.563751
4392.773438	-68.854889
4435.839844	-69.137405
4478.906250	-69.300957
4521.972656	-68.837280
4565.039062	-67.059219
4608.105469	-66.464577
4651.171875	-68.005432
4694.238281	-67.057381
4737.304688	-67.029282
4780.371094	-65.763824
4823.437500	-64.142616
4866.503906	-63.530827
4909.570312	-61.927593
4952.636719	-63.674511
4995.703125	-63.653553
5038.769531	-61.728477
5081.835938	-61.233360
5124.902344	-63.355297
