Frequency (Hz)	Level (dB)
43.066406	-52.547394
86.132812	-58.346302
129.199219	-59.259258
172.265625	-59.412712
215.332031	-56.743187
258.398438	-54.574619
301.464844	-56.503147
344.531250	-57.321663
387.597656	-53.926708
430.664062	-50.286472
473.730469	-47.169159
516.796875	-46.911201
559.863281	-50.911190
602.929688	-51.658516
645.996094	-51.553265
689.062500	-54.080608
732.128906	-53.538006
775.195312	-51.760048
818.261719	-48.086864
861.328125	-45.957672
904.394531	-47.089249
947.460938	-47.262512
990.527344	-45.245281
1033.593750	-43.482376
1076.660156	-45.621422
1119.726562	-44.959278
1162.792969	-44.373806
1205.859375	-42.301159
1248.925781	-41.076668
1291.992188	-44.861561
1335.058594	-47.599419
1378.125000	-50.785225
1421.191406	-50.866905
1464.257812	-53.386551
1507.324219	-56.907722
1550.390625	-57.761879
1593.457031	-56.977135
1636.523438	-58.372242
1679.589844	-60.542717
1722.656250	-61.871628
1765.722656	-59.868351
1808.789062	-59.195370
1851.855469	-58.846409
1894.921875	-57.616291
1937.988281	-56.725838
1981.054688	-55.580971
2024.121094	-56.229874
2067.187500	-57.937824
2110.253906	-58.673275
2153.320312	-59.418312
2196.386719	-61.174046
2239.453125	-61.510326
2282.519531	-59.089474
2325.585938	-59.734200
2368.652344	-61.690414
2411.718750	-64.903290
2454.785156	-63.922039
2497.851562	-66.255714
2540.917969	-66.889626
2583.984375	-67.036598
2627.050781	-66.792313
2670.117188	-68.160576
2713.183594	-66.530388
2756.250000	-63.669807
2799.316406	-66.388573
2842.382812	-66.083794
2885.449219	-65.766098
2928.515625	-63.635254
2971.582031	-65.735191
3014.648438	-64.647415
3057.714844	-64.968361
3100.781250	-68.965012
3143.847656	-68.249229
3186.914062	-66.464706
3229.980469	-69.540291
3273.046875	-68.763893
3316.113281	-67.537285
3359.179688	-65.491455
3402.246094	-66.084900
3445.312500	-64.815742
3488.378906	-65.900642
3531.445312	-65.039536
3574.511719	-65.282288
3617.578125	-67.824219
3660.644531	-69.072403
3703.710938	-70.789925
3746.777344	-73.095428
3789.843750	-69.818008
3832.910156	-67.514702
3875.976562	-68.943077
3919.042969	-67.574097
3962.109375	-68.088356
4005.175781	-69.395332
4048.242188	-69.413330
4091.308594	-69.529938
4134.375000	-67.527275
4177.441406	-69.702545
4220.507812	-68.252480
4263.574219	-67.991226
4306.640625	-71.165131
4349.707031	-71.088097
4392.773438	-70.745903
4435.839844	-70.211105
4478.906250	-68.824738
4521.972656	-70.403770
4565.039062	-70.853523
4608.105469	-68.773918
4651.171875	-65.690437
4694.238281	-65.392181
4737.304688	-69.558952
4780.371094	-69.069016
4823.437500	-67.194115
4866.503906	-67.587730
4909.570312	-66.891174
4952.636719	-68.251587
4995.703125	-70.101097
5038.769531	-71.414032
5081.835938	-72.294701
5124.902344	-69.970894
5167.968750	-68.182312
5211.035156	-68.185547
5254.101562	-67.714066
5297.167969	-69.376740
5340.234375	-69.545914
5383.300781	-70.846375
5426.367188	-75.675285
5469.433594	-77.334457
5512.500000	-74.109070
5555.566406	-73.082344
5598.632812	-70.747795
5641.699219	-72.240372
5684.765625	-71.948570
5727.832031	-71.988541
5770.898438	-71.310020
5813.964844	-69.467575
5857.031250	-72.295120
5900.097656	-73.052704
5943.164062	-71.378716
5986.230469	-71.170799
6029.296875	-72.227867
6072.363281	-74.297127
6115.429688	-73.601997
6158.496094	-70.315788
6201.562500	-71.698769
6244.628906	-72.114922
6287.695312	-71.907700
6330.761719	-73.374619
6373.828125	-72.485687
6416.894531	-71.448196
6459.960938	-71.982666
6503.027344	-72.142151
6546.093750	-73.006813
6589.160156	-72.098938
6632.226562	-70.570045
6675.292969	-71.732666
6718.359375	-71.882370
6761.425781	-71.295090
6804.492188	-72.151337
6847.558594	-71.691734
6890.625000	-72.174973
6933.691406	-70.913689
6976.757812	-72.558952
7019.824219	-73.861748
7062.890625	-73.722275
7105.957031	-72.106453
7149.023438	-72.758095
7192.089844	-75.817795
7235.156250	-74.474396
7278.222656	-72.371140
7321.289062	-73.623932
7364.355469	-73.584686
7407.421875	-73.050224
7450.488281	-74.776100
7493.554688	-75.740189
7536.621094	-75.457207
7579.687500	-74.023933
7622.753906	-74.687607
7665.820312	-77.629547
7708.886719	-78.137604
7751.953125	-76.941574
7795.019531	-75.435699
7838.085938	-75.561310
7881.152344	-76.118416
7924.218750	-79.505470
7967.285156	-78.656204
8010.351562	-78.726921
8053.417969	-78.403931
8096.484375	-79.031708
8139.550781	-81.731293
8182.617188	-77.599686
8225.683594	-76.013695
8268.750000	-79.059647
8311.816406	-81.623352
8354.882812	-78.895081
8397.949219	-75.869743
8441.015625	-76.449829
8484.082031	-80.108627
8527.148438	-81.360306
8570.214844	-77.826958
8613.281250	-76.168610
8656.347656	-79.343666
8699.414062	-81.321915
8742.480469	-79.107155
8785.546875	-80.385376
8828.613281	-79.319511
8871.679688	-77.241280
8914.746094	-78.537956
8957.812500	-80.680023
9000.878906	-78.431656
9043.945312	-77.245110
9087.011719	-77.538826
9130.078125	-78.873886
9173.144531	-79.325615
9216.210938	-79.192734
9259.277344	-79.863976
9302.343750	-78.947205
9345.410156	-78.839386
9388.476562	-80.251671
9431.542969	-78.971642
9474.609375	-77.601631
9517.675781	-78.999855
9560.742188	-81.696548
9603.808594	-81.222481
9646.875000	-82.562294
9689.941406	-79.960495
9733.007812	-79.958099
9776.074219	-82.094650
9819.140625	-84.750717
9862.207031	-83.593208
9905.273438	-81.811539
9948.339844	-83.285797
9991.406250	-86.156075
10034.472656	-86.781563
10077.539062	-87.127548
10120.605469	-88.587410
10163.671875	-88.674629
10206.738281	-88.473869
10249.804688	-89.575562
10292.871094	-91.396866
10335.937500	-91.585762
10379.003906	-89.606209
10422.070312	-89.329521
10465.136719	-88.319504
10508.203125	-86.014191
10551.269531	-87.796745
10594.335938	-89.413490
10637.402344	-91.449554
10680.468750	-91.271317
10723.535156	-88.755074
10766.601562	-88.738708
10809.667969	-88.694588
10852.734375	-89.555580
10895.800781	-90.497688
10938.867188	-88.444901
10981.933594	-88.066353
11025.000000	-89.671997
11068.066406	-88.808098
11111.132812	-88.654671
11154.199219	-86.473427
11197.265625	-84.030228
11240.332031	-85.162003
11283.398438	-87.520531
11326.464844	-86.838425
11369.531250	-86.288750
11412.597656	-85.980988
11455.664062	-86.071045
11498.730469	-87.030907
11541.796875	-87.591316
11584.863281	-87.520943
11627.929688	-83.866676
11670.996094	-84.132851
11714.062500	-87.421318
11757.128906	-87.292725
11800.195312	-87.346764
11843.261719	-86.469025
11886.328125	-85.168846
11929.394531	-87.326607
11972.460938	-91.377495
12015.527344	-89.655869
12058.593750	-86.886162
12101.660156	-86.653549
12144.726562	-89.969963
12187.792969	-92.197495
12230.859375	-90.765549
12273.925781	-90.796654
12316.992188	-90.016190
12360.058594	-90.622681
12403.125000	-91.523323
12446.191406	-90.521355
12489.257812	-90.631187
12532.324219	-91.150192
12575.390625	-92.319252
12618.457031	-93.487427
12661.523438	-94.723679
12704.589844	-95.658081
12747.656250	-94.666252
12790.722656	-93.356667
12833.789062	-94.058800
12876.855469	-94.467628
12919.921875	-94.367943
12962.988281	-92.431221
13006.054688	-90.871338
13049.121094	-92.101425
13092.187500	-90.025887
13135.253906	-90.465866
13178.320312	-90.987984
13221.386719	-90.217972
13264.453125	-88.949272
13307.519531	-88.608696
13350.585938	-90.106781
13393.652344	-90.372124
13436.718750	-91.030273
13479.785156	-91.414032
13522.851562	-89.612259
13565.917969	-89.193047
13608.984375	-91.112747
13652.050781	-89.983620
13695.117188	-89.724419
13738.183594	-91.669739
13781.250000	-89.593033
13824.316406	-88.608009
13867.382812	-90.142769
13910.449219	-93.783440
13953.515625	-92.728943
13996.582031	-92.336105
14039.648438	-92.315773
14082.714844	-92.435509
14125.781250	-94.206032
14168.847656	-95.252495
14211.914062	-94.360703
14254.980469	-93.792030
14298.046875	-94.634552
14341.113281	-95.426270
14384.179688	-95.393211
14427.246094	-96.309898
14470.312500	-98.504456
14513.378906	-98.428352
14556.445312	-100.011604
14599.511719	-100.633575
14642.578125	-100.209404
14685.644531	-100.037239
14728.710938	-101.272385
14771.777344	-101.636826
14814.843750	-102.016808
14857.910156	-102.349342
14900.976562	-102.765259
14944.042969	-103.064117
14987.109375	-100.547943
15030.175781	-99.175583
15073.242188	-99.992050
15116.308594	-102.060089
15159.375000	-101.356575
15202.441406	-100.510849
15245.507812	-99.301895
15288.574219	-99.754723
15331.640625	-100.996162
15374.707031	-100.943298
15417.773438	-98.511665
15460.839844	-97.369812
15503.906250	-98.981529
15546.972656	-100.016022
