Frequency (Hz)	Level (dB)
43.066406	-62.069260
86.132812	-67.169685
129.199219	-60.938824
172.265625	-59.299274
215.332031	-56.743923
258.398438	-56.469215
301.464844	-60.627850
344.531250	-61.411240
387.597656	-59.423466
430.664062	-54.480007
473.730469	-51.615112
516.796875	-52.353798
559.863281	-55.076523
602.929688	-55.120472
645.996094	-50.559155
689.062500	-48.240440
732.128906	-50.239891
775.195312	-51.161804
818.261719	-47.527676
861.328125	-45.250904
904.394531	-48.288609
947.460938	-45.719852
990.527344	-44.871090
1033.593750	-48.901810
1076.660156	-48.328880
1119.726562	-45.735252
1162.792969	-44.672348
1205.859375	-46.118225
1248.925781	-44.567455
1291.992188	-46.492329
1335.058594	-49.472397
1378.125000	-51.030521
1421.191406	-52.134708
1464.257812	-51.483265
1507.324219	-54.838402
1550.390625	-56.875164
1593.457031	-55.852997
1636.523438	-55.333069
1679.589844	-56.882141
1722.656250	-57.517796
1765.722656	-58.293427
1808.789062	-55.754448
1851.855469	-56.575066
1894.921875	-57.747448
1937.988281	-58.910583
1981.054688	-60.516785
2024.121094	-59.633148
2067.187500	-61.714405
2110.253906	-64.248940
2153.320312	-65.359444
2196.386719	-63.727062
2239.453125	-64.585991
2282.519531	-62.393257
2325.585938	-63.215679
2368.652344	-64.394691
2411.718750	-66.561234
2454.785156	-65.821297
2497.851562	-65.028061
2540.917969	-64.944038
2583.984375	-67.513229
2627.050781	-66.924301
2670.117188	-69.495773
2713.183594	-70.199753
2756.250000	-70.235054
2799.316406	-70.071281
2842.382812	-65.558075
2885.449219	-65.423729
2928.515625	-67.843719
2971.582031	-66.828796
3014.648438	-64.580727
3057.714844	-63.391903
3100.781250	-62.516422
3143.847656	-64.141685
3186.914062	-64.085670
3229.980469	-63.845692
3273.046875	-66.568474
3316.113281	-66.438515
3359.179688	-65.171356
3402.246094	-66.059021
3445.312500	-65.099602
3488.378906	-63.429466
3531.445312	-65.089058
3574.511719	-68.716202
3617.578125	-68.178749
3660.644531	-67.397408
3703.710938	-70.737427
3746.777344	-74.109627
3789.843750	-72.185692
3832.910156	-69.997169
3875.976562	-70.743843
3919.042969	-73.035294
3962.109375	-70.006783
4005.175781	-68.017662
4048.242188	-67.380272
4091.308594	-66.643921
4134.375000	-66.520538
4177.441406	-66.557144
4220.507812	-62.187794
4263.574219	-63.533051
4306.640625	-68.365562
4349.707031	-67.232712
4392.773438	-68.407761
4435.839844	-67.886108
4478.906250	-67.860207
4521.972656	-69.165741
4565.039062	-71.145294
4608.105469	-71.064903
4651.171875	-67.850235
4694.238281	-64.677582
4737.304688	-65.960274
4780.371094	-66.197464
4823.437500	-67.610146
4866.503906	-67.673843
4909.570312	-66.382339
4952.636719	-67.204483
4995.703125	-69.817871
5038.769531	-69.736267
5081.835938	-70.309540
5124.902344	-67.796494
5167.968750	-66.815659
5211.035156	-66.362907
5254.101562	-67.353226
5297.167969	-69.440048
5340.234375	-67.994759
5383.300781	-65.441193
5426.367188	-66.824486
5469.433594	-70.760925
5512.500000	-70.868217
5555.566406	-67.313293
5598.632812	-65.894775
5641.699219	-69.290451
5684.765625	-73.417107
5727.832031	-71.365044
5770.898438	-71.289932
5813.964844	-71.202423
5857.031250	-71.159935
5900.097656	-73.110344
5943.164062	-72.789360
5986.230469	-72.727440
6029.296875	-72.877945
6072.363281	-73.312996
6115.429688	-72.379066
6158.496094	-72.336288
6201.562500	-73.811249
6244.628906	-74.254921
6287.695312	-75.554985
6330.761719	-76.936134
6373.828125	-73.834007
6416.894531	-73.299385
6459.960938	-74.323692
6503.027344	-76.556763
6546.093750	-77.415932
6589.160156	-74.776695
6632.226562	-73.215813
6675.292969	-75.584366
6718.359375	-78.693794
6761.425781	-78.996490
6804.492188	-75.427666
6847.558594	-74.210754
6890.625000	-73.295868
6933.691406	-74.530571
6976.757812	-72.368904
7019.824219	-72.641838
7062.890625	-71.693573
7105.957031	-72.160851
7149.023438	-72.572525
7192.089844	-72.401917
7235.156250	-71.508430
7278.222656	-70.492897
7321.289062	-71.333115
7364.355469	-71.010056
7407.421875	-72.997208
7450.488281	-73.159706
7493.554688	-73.337357
7536.621094	-73.514091
7579.687500	-73.829575
7622.753906	-75.691933
7665.820312	-75.793671
7708.886719	-74.306999
7751.953125	-74.368095
7795.019531	-76.053764
7838.085938	-79.155045
7881.152344	-77.468002
7924.218750	-74.900299
7967.285156	-75.451996
8010.351562	-79.211296
8053.417969	-79.922897
8096.484375	-76.466187
8139.550781	-75.572517
8182.617188	-77.439476
8225.683594	-79.369125
8268.750000	-80.653748
8311.816406	-77.937263
8354.882812	-75.735649
8397.949219	-75.047630
8441.015625	-76.569847
8484.082031	-77.344360
8527.148438	-77.876152
8570.214844	-76.894623
8613.281250	-76.014633
8656.347656	-77.341148
8699.414062	-78.903564
8742.480469	-79.839111
8785.546875	-79.534027
8828.613281	-78.879471
8871.679688	-79.710846
8914.746094	-81.857094
8957.812500	-78.988182
9000.878906	-78.020851
9043.945312	-78.902298
9087.011719	-81.486107
9130.078125	-84.847237
9173.144531	-81.448227
9216.210938	-79.718300
9259.277344	-82.341675
9302.343750	-82.018753
9345.410156	-83.365067
9388.476562	-84.066734
9431.542969	-80.872108
9474.609375	-81.050827
9517.675781	-83.405960
9560.742188	-85.168907
9603.808594	-81.859238
9646.875000	-81.824562
9689.941406	-82.718208
9733.007812	-83.769699
9776.074219	-84.784653
9819.140625	-82.041916
9862.207031	-80.664040
9905.273438	-83.248932
9948.339844	-85.364380
9991.406250	-83.792900
10034.472656	-84.383232
10077.539062	-84.633591
10120.605469	-82.025406
10163.671875	-82.588882
10206.738281	-86.193947
10249.804688	-85.639793
10292.871094	-83.636253
10335.937500	-83.719093
10379.003906	-84.657288
10422.070312	-87.194046
10465.136719	-85.816010
10508.203125	-83.827896
10551.269531	-86.342918
10594.335938	-88.831345
10637.402344	-86.651634
10680.468750	-87.170952
10723.535156	-87.944923
10766.601562	-87.723236
10809.667969	-88.664146
10852.734375	-88.554199
10895.800781	-86.632912
10938.867188	-85.875191
10981.933594	-87.257210
11025.000000	-90.067818
11068.066406	-90.507095
11111.132812	-89.427299
11154.199219	-88.310661
11197.265625	-88.498360
11240.332031	-89.948418
11283.398438	-89.732254
11326.464844	-89.012856
11369.531250	-87.894783
11412.597656	-86.580620
11455.664062	-89.607803
11498.730469	-88.655304
11541.796875	-87.539070
11584.863281	-87.557640
11627.929688	-88.486664
11670.996094	-91.481758
11714.062500	-88.249489
11757.128906	-85.977577
11800.195312	-86.715111
11843.261719	-88.883087
11886.328125	-90.544388
11929.394531	-87.854500
11972.460938	-86.875801
12015.527344	-89.300476
12058.593750	-90.482109
12101.660156	-89.174721
12144.726562	-90.721741
12187.792969	-90.640640
12230.859375	-89.578491
12273.925781	-89.191452
12316.992188	-90.107712
12360.058594	-87.649078
12403.125000	-88.241173
12446.191406	-90.982307
12489.257812	-93.348022
12532.324219	-88.982140
12575.390625	-88.190422
12618.457031	-88.631233
12661.523438	-88.452454
12704.589844	-90.786125
12747.656250	-90.208611
12790.722656	-86.980957
12833.789062	-86.903374
12876.855469	-88.054337
12919.921875	-88.865387
12962.988281	-89.963867
13006.054688	-87.126045
13049.121094	-86.087502
13092.187500	-87.939201
13135.253906	-89.798050
13178.320312	-90.001724
13221.386719	-87.799255
13264.453125	-88.104019
13307.519531	-87.960236
13350.585938	-88.381721
13393.652344	-88.959038
13436.718750	-88.334518
13479.785156	-88.481117
13522.851562	-89.093658
13565.917969	-89.115364
13608.984375	-90.820366
13652.050781	-90.094688
13695.117188	-88.248970
13738.183594	-89.300919
13781.250000	-91.030403
13824.316406	-92.570915
13867.382812	-91.528442
13910.449219	-91.829926
13953.515625	-91.094093
13996.582031	-92.167915
14039.648438	-91.911751
14082.714844	-92.528061
14125.781250	-93.587753
14168.847656	-91.976212
14211.914062	-92.199280
14254.980469	-94.226570
14298.046875	-93.341164
14341.113281	-93.096642
14384.179688	-93.314621
14427.246094	-93.097954
14470.312500	-96.007805
14513.378906	-95.702209
14556.445312	-94.519249
14599.511719	-94.621246
14642.578125	-95.903572
14685.644531	-95.980690
14728.710938	-94.882812
14771.777344	-95.924644
14814.843750	-96.090141
14857.910156	-95.826462
14900.976562	-95.658882
14944.042969	-96.807289
14987.109375	-96.681328
15030.175781	-95.476387
15073.242188	-96.070854
15116.308594	-99.349236
15159.375000	-97.666626
15202.441406	-96.408836
15245.507812	-97.336533
15288.574219	-99.624359
15331.640625	-97.794334
15374.707031	-97.863831
15417.773438	-99.185318
15460.839844	-100.756241
15503.906250	-100.262863
15546.972656	-99.473015
15590.039062	-99.990425
15633.105469	-99.685112
15676.171875	-99.238617
15719.238281	-100.596870
15762.304688	-100.800018
15805.371094	-98.166237
15848.437500	-98.407112
15891.503906	-99.602921
15934.570312	-100.049545
15977.636719	-99.357155
16020.703125	-98.602325
16063.769531	-98.688431
16106.835938	-100.117134
16149.902344	-99.511574
16192.968750	-98.521622
16236.035156	-99.883278
16279.101562	-100.594017
16322.167969	-100.070839
16365.234375	-100.223450
16408.300781	-102.017174
16451.367188	-101.486526
16494.433594	-100.296913
16537.500000	-100.856705
16580.566406	-102.142769
16623.632812	-102.178909
16666.699219	-101.681252
16709.765625	-101.746124
16752.832031	-103.259254
16795.898438	-102.829491
16838.964844	-102.245003
16882.031250	-102.936562
16925.097656	-103.534515
16968.164062	-102.388863
